GenName,Type,Rating,BusName,BusNumber,Area,Available,Lat,Lon
generator-315092-3,ThermalStandard,822.1088127,1YORKTN3_315092,315092,PJM,FALSE,37.21,-76.46
generator-315007-5,ThermalStandard,820.2354845,1POSSM 5_315007,315007,PJM,FALSE,38.54,-77.28
generator-315244-S1,ThermalStandard,728.7420669,1Z1-086 ST_315244,315244,PJM,TRUE,36.72,-77.66
generator-315213-1S,ThermalStandard,403.8861226,1X4-039 ST_315213,315213,PJM,TRUE,39.07,-77.54
Ladysmith_2,ThermalStandard,179.387848,1LDYSMT2_315038,315038,PJM,TRUE,38.05,-77.55
Ladysmith_1,ThermalStandard,178.6393014,1LDYSMT1_315037,315037,PJM,TRUE,38.05,-77.55
MarshRunGenerationFacility_B,ThermalStandard,175.7057199,1M RUN B_315029,315029,PJM,TRUE,38.53,-77.77
generator-315051-1,ThermalStandard,174.5114609,1AA1-145 CT1_315051,315051,PJM,TRUE,37.94,-77.45
generator-315052-1,ThermalStandard,174.5114609,1AA1-145 CT2_315052,315052,PJM,TRUE,37.94,-77.45
Ladysmith_5,ThermalStandard,173.1293158,1LDYSMT5_315041,315041,PJM,TRUE,38.05,-77.55
generator-315176-E,ThermalStandard,172.7715544,1LOISA E_315176,315176,PJM,FALSE,38.12,-78.22
MarshRunGenerationFacility_A,ThermalStandard,172.1189414,1M RUN A_315028,315028,PJM,TRUE,38.53,-77.77
Ladysmith_3,ThermalStandard,171.4993003,1LDYSMT3_315039,315039,PJM,TRUE,38.05,-77.55
MarshRunGenerationFacility_C,ThermalStandard,170.3842716,1M RUN C_315030,315030,PJM,TRUE,38.53,-77.77
Ladysmith_4,ThermalStandard,170.1621873,1LDYSMT4_315040,315040,PJM,TRUE,38.05,-77.55
Remington_1,ThermalStandard,161.6820646,1REMNGT1_315021,315021,PJM,TRUE,38.54,-77.78
Remington_3,ThermalStandard,160.964903,1REMNGT3_315023,315023,PJM,TRUE,38.54,-77.78
Remington_4,ThermalStandard,160.8671812,1REMNGT4_315024,315024,PJM,TRUE,38.54,-77.78
Remington_2,ThermalStandard,160.0434004,1REMNGT2_315022,315022,PJM,TRUE,38.54,-77.78
DoswellEnergyCenter_B,ThermalStandard,112.6694724,1FOUR RIVERB_315044,315044,PJM,TRUE,37.94,-77.45
DoswellEnergyCenter_D,ThermalStandard,111.903932,1FOUR RIVERD_315046,315046,PJM,TRUE,37.94,-77.45
DoswellEnergyCenter_A,ThermalStandard,111.6716616,1FOUR RIVERA_315043,315043,PJM,TRUE,37.94,-77.45
generator-315110-3,ThermalStandard,111.5600287,1ELIZAR3_315110,315110,PJM,FALSE,36.76,-76.29
DoswellEnergyCenter_E,ThermalStandard,110.7440743,1FOUR RIVERE_315047,315047,PJM,TRUE,37.94,-77.45
generator-315108-1,ThermalStandard,109.5331913,1ELIZAR1_315108,315108,PJM,FALSE,36.76,-76.29
