plant,generator ID,technology,energy_source,prime_mover,lat,lon,nameplate_capacity,ba,EI gen,EI Bus,Capacity Change,Generator Add,Generator twin,prime_mover,energy_source ,,,
Clinch River,1,Natural Gas Steam Turbine,NG,ST,36.9333,-82.1997,237.5,PJM,generator-242901-2H,242899,59.375,no,no,ST,NG,,,
Clinch River,2,Natural Gas Steam Turbine,NG,ST,36.9333,-82.1997,237.5,PJM,generator-242899-1H,242900,59.375,no,no,ST,NG,,,
Clinch River,,,,,36.9333,-82.1997,0,,generator-242902-2L,,,,,,,,,
Clinch River,,,,,36.9333,-82.1997,0,,generator-242900-1L,,,,,,,,,
Bayview,BAYV,Petroleum Liquids,DFO,IC,37.2717,-75.9682,2,PJM,generator-232905-1,232905,12,no,no,IC,DFO,,,
Bayview,BYV2,Petroleum Liquids,DFO,IC,37.2717,-75.9682,2,PJM,,,,no,no,IC,DFO,,,
Bayview,BYV3,Petroleum Liquids,DFO,IC,37.2717,-75.9682,2,PJM,,,,no,no,IC,DFO,,,
Bayview,BYV4,Petroleum Liquids,DFO,IC,37.2717,-75.9682,2,PJM,,,,no,no,IC,DFO,,,
Bayview,BYV5,Petroleum Liquids,DFO,IC,37.2717,-75.9682,2,PJM,,,,no,no,IC,DFO,,,
Bayview,BYV6,Petroleum Liquids,DFO,IC,37.2717,-75.9682,2,PJM,,,,no,no,IC,DFO,,,
Tasley,TAS,Petroleum Liquids,DFO,GT,37.7061,-75.7031,27,PJM,generator-232921-1,232921,27,no,no,GT,DFO,,,
Chesterfield,CT7,Natural Gas Fired Combined Cycle,NG,CT,37.3822,-77.3833,145,PJM,generator-315061-G7,315061,145,no,no,CT,NG,,,
Chesterfield,CT8,Natural Gas Fired Combined Cycle,NG,CT,37.3822,-77.3833,148,PJM,generator-315063-G8,315063,148,no,no,CT,NG,,,
Chesterfield,CW7,Natural Gas Fired Combined Cycle,NG,CA,37.3822,-77.3833,74.4,PJM,generator-315062-S7,315062,74.4,no,no,CA,NG,,,
