gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,eia860_status,available,ts_column_name,source,state
generator-337529-7730814962,337529,J680_GEN_337529,33.096086,-91.947912,100,115.0,Operable,true,generator-337529-7730814962,EI_EIA2PF,AR
generator-337532-4488846706,337532,3BEARDEN_337532,33.781675,-92.696185,1,115.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-337553-7968449825,337553,3ELDORADO.E!_337553,33.212935,-92.621543,1.8,115.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-337571-2859119014,337571,J603_GEN_337571,33.29,-92.59,105.61634153860851,0.42,,true,generator-337571-2859119014,EI_MMWG,AR
generator-337581-5418204892,337581,3CROSSETT.N!_337581,33.131191,-91.941101,1,115.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-337590-4400671239,337590,3HAMBURG_337590,33.250828,-91.922427,1,115.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-337590-4712309790,337590,3HAMBURG,33.342883,-91.89495,75,115.0,Proposed,true,,EIA_MMWG_FUZZY,AR
generator-337602-1303349482,337602,3DUMAS%_337602,33.891711,-91.470063,4.8,115.0,Proposed,true,,EIA_MMWG_FUZZY,AR
generator-337603-4569419177,337603,3VARNER_337603,34.041298,-91.627949,4.9,115.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-337607-2578250863,337607,J620_GEN_337607,33.479,-91.349,100,115.0,Operable,true,generator-337607-2578250863,EI_EIA2PF,AR
generator-337666-7672642271,337666,1DEGRAY U1_337666,34.163497,-93.087211,1,13.2,Operable,true,,EIA_MMWG_FUZZY,AR
generator-337721-2622214954,337721,3ALBRIGHT_337721,34.421,-93.19485,1,115.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-337955-9577963379,337955,3T.E.P/S-5_337955,34.724417,-92.196797,1,115.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-337955-6393307921,337955,3T.E.P/S-5_337955,34.741158,-92.181925,2,115.0,Operable,true,,EIA_MMWG_FUZZY,AR
generator-337955-8034462630,337955,3T.E.P/S-5_337955,34.743456,-92.179931,5,115.0,Operable,true,,EIA_MMWG_FUZZY,AR
