gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,eia860_status,available,ts_column_name,source,state
generator-90358-5423682215,90358,LR_GILMAN_S_90358,40.764392,-87.999156,4.5,345.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-247712-2919007543,247712,05SULLIVAN,39.25906,-87.62817,165.3,345.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-248794-2634423646,248794,07CRTLND,41.92219,-88.68876,2,161.0,Operable,true,,EIA_MMWG_EXACT,IL
generator-255182-4965250798,255182,17THAYER_255182,41.341142,-87.586132,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-255182-4377672612,255182,17THAYER_255182,41.341171,-87.574181,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-264634-6750262479,264634,19PONTC1,40.91806,-88.625,2,120.0,Operable,true,,EIA_MMWG_EXACT,IL
generator-270671-5634242504,270671,BRAIDWOOD; R_270671,41.25559,-88.21848,2,345.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-270671-8486211196,270671,BRAIDWOOD; R_270671,41.19504,-88.30134,2,345.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-270671-5116469885,270671,BRAIDWOOD; R_270671,41.185,-88.231,2,345.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-270671-8830862696,270671,BRAIDWOOD; R_270671,41.19401,-88.294542,5,345.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-270679-9468459366,270679,BYRON    ; R_270679,42.02005,-89.36263,2,345.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-270679-5769496285,270679,BYRON    ; R_270679,42.0142,-89.351,5,345.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-270695-8409597212,270695,CHERRY VA; R,42.06,-88.81,500,345.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-270731-5549610661,270731,ELECT JCT;4R_270731,41.79698,-88.26809,1.9,345.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-270790-2711949639,270790,KATYDID  ; B_270790,41.166034,-88.633382,2,345.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-270810-4958563077,270810,LOCKPORT ; B_270810,41.597,-88.11,1.1,345.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-270810-8390232331,270810,LOCKPORT ; B_270810,41.599,-88.111,1.1,345.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-270827-2765505790,270827,NEVADA   ; R_270827,41.143421,-88.758341,20,345.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-270853-6354058252,270853,PONTIAC  ; R_270853,40.913454,-88.642909,5,345.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-270853-7876322438,270853,PONTIAC  ; R_270853,40.918,-88.619,2,345.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-270853-3703246388,270853,PONTIAC  ; R_270853,40.8563,-88.6015,2,345.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-270853-3102275783,270853,PONTIAC  ; R_270853,40.858134,-88.602022,1.9,345.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-270890-6212055554,270890,ESS H471 ;_270890,41.784441,-89.761019,5,345.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-270918-2045831269,270918,WEMPLETOW; B_270918,42.339141,-89.198015,2,345.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-270957-1929981237,270957,ESS A429 ;4R_270957,42.391136,-87.849411,7,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-270975-1455934317,270975,ALGONQUIN; R_270975,42.164,-88.383,1.5,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-270992-9324535549,270992,ALTGELD  ;3T_270992,41.946509,-87.859442,1.2,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-270992-6973287170,270992,ALTGELD  ;3T_270992,41.947302,-87.860918,1.2,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-270992-9760718768,270992,ALTGELD  ;3T_270992,41.9809,-87.8633,3,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-271007-3150950973,271007,ARGYLE   ; R_271007,42.41894,-88.846141,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271017-6902926615,271017,ESS D789 ;R_271017,41.916874,-87.856212,1.9,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271017-4463731752,271017,ESS D789 ;R_271017,41.9118,-87.9081,1.6,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-271017-7970291850,271017,ESS D789 ;R_271017,41.918532,-87.909301,1.6,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-271097-5898183482,271097,BLACKHAWK;RT_271097,42.175278,-89.088333,2.6,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271097-3213206306,271097,BLACKHAWK;RT_271097,42.16572,-89.03686,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271097-3655713721,271097,BLACKHAWK;RT_271097,42.206076,-89.074384,1.8,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271097-1411936584,271097,BLACKHAWK;RT_271097,42.17606,-89.08479,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271097-1325466790,271097,BLACKHAWK;RT_271097,42.17606,-89.08479,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271099-6431279019,271099,BLOOM    ; R_271099,41.496,-87.56,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271115-2725058025,271115,BRIGGS   ; R_271115,41.471715,-88.043725,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271115-2940102611,271115,BRIGGS   ; R_271115,41.507951,-88.026023,4,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-271115-9828155829,271115,BRIGGS   ; R_271115,41.48,-88.07,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271115-2527357486,271115,BRIGGS   ; R_271115,41.470454,-88.023659,4.9,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-271143-1286969850,271143,BRADLEY  ; R_271143,41.138879,-87.837525,1.9,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-271233-7855923604,271233,CRAWFORD ;7I_271233,41.817,-87.735,1,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271254-6660736795,271254,ESS D438 ; B_271254,41.753932,-87.789421,1.5,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271254-4013976842,271254,ESS D438 ; B_271254,41.772468,-87.797245,2,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-271254-9533650236,271254,ESS D438 ; B_271254,41.772696,-87.794305,2,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-271405-7417382680,271405,ELMHURST ; R_271405,41.92302,-87.91646,1.4,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-271420-5349351161,271420,ECOGROVE ; B,42.432863,-89.906865,100,138.0,Operable,true,,EIA_ONLY,IL
generator-271428-9152215037,271428,ESS H452 ;RT_271428,41.758266,-88.656288,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271428-6836925005,271428,ESS H452 ;RT_271428,41.877,-88.733,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271432-4409149432,271432,CREGO RD ; B_271432,41.96455,-88.66696,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271432-5140667378,271432,CREGO RD ; B_271432,41.893409,-88.771045,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271432-8057608424,271432,CREGO RD ; B_271432,41.894383,-88.771303,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271432-4933266499,271432,CREGO RD ; B_271432,41.934706,-88.711419,4.9,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-271432-4326298467,271432,CREGO RD ; B,41.886064,-88.727248,95,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-271467-5014455934,271467,FISK     ;0I_271467,41.849,-87.669,1.4,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271479-2940624799,271479,ESS F375 ; R_271479,41.520824,-87.572282,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271549-4004286274,271549,GILBERTS ; R_271549,42.06052,-88.5451,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271549-7436795138,271549,GILBERTS ; R_271549,42.039337,-88.423132,4.3,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-271638-6277479214,271638,HARLEM   ; B_271638,42.376,-89.003,1.7,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271677-5942737956,271677,HUNTLEY  ; R_271677,42.164,-88.4625,1.9,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271677-6113052461,271677,HUNTLEY  ; R_271677,42.214828,-88.491906,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271831-7278423737,271831,KANKAKEE ; B_271831,41.108211,-87.726108,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271831-4952764930,271831,KANKAKEE ; B_271831,41.119258,-87.826519,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271849-5486564313,271849,KENSINGTN; B_271849,41.070396,-87.78887,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271849-8135578410,271849,KENSINGTN; B_271849,41.097265,-87.869294,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271897-9533899006,271897,LANCASTER; R_271897,42.339696,-89.632719,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271897-9448088975,271897,LANCASTER; R_271897,42.452243,-89.638813,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271897-5439803208,271897,LANCASTER; R_271897,42.3676,-89.6329,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-271901-7500326036,271901,LANDMEIR ; R_271901,42.018195,-87.9296,1.4,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-271901-2294203131,271901,LANDMEIR ; R_271901,42.010416,-87.958,1.7,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-271915-8501292424,271915,LENA     ; R_271915,42.312841,-89.903444,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
