plant,generator ID,technology,energy_source ,prime_mover,lat,lon,nameplate_capacity,ba
Remington Solar Facility,1,Solar Photovoltaic,SUN,PV,38.548333,-77.77639,20,PJM
Coastal Virginia Offshore Wind (CVOW) Pi,OSW1,Offshore Wind Turbine,WND,WT,36.89155,-75.4916,12,PJM
Western Branch High School,1,Solar Photovoltaic,SUN,PV,36.848105,-76.40714,1,PJM
Merck,1,Solar Photovoltaic,SUN,PV,38.383222,-78.64369,2.1,PJM
Philip Morris,1,Solar Photovoltaic,SUN,PV,37.341838,-77.28703,2,PJM
"Eastern Shore Solar, LLC",PV1,Solar Photovoltaic,SUN,PV,37.943895,-75.56956,80,PJM
Scott Solar Farm,1,Solar Photovoltaic,SUN,PV,37.523,-77.934,17,PJM
Woodland Solar Farm,1,Solar Photovoltaic,SUN,PV,36.89,-76.611,19,PJM
Whitehouse Solar Farm,1,Solar Photovoltaic,SUN,PV,38.023,-77.972,20,PJM
Oceana Solar,1,Solar Photovoltaic,SUN,PV,36.789753,-76.05142,17.6,PJM
Correctional Solar LLC,PV1,Solar Photovoltaic,SUN,PV,37.471464,-76.84461,20,PJM
"Sussex Drive, LLC",PV1,Solar Photovoltaic,SUN,PV,36.940529,-77.41776,20,PJM
Buckingham Solar LLC,PV1,Solar Photovoltaic,SUN,PV,37.502944,-78.37924,19.8,PJM
Scott-II Solar LLC,PV1,Solar Photovoltaic,SUN,PV,37.526244,-77.94464,20,PJM
Hollyfield,1,Solar Photovoltaic,SUN,PV,37.672005,-77.17044,17,PJM
DG AMP Solar Front Royal,AMPFR,Solar Photovoltaic,SUN,PV,38.929,-78.18,2.5,PJM
Bedford Solar,12346,Solar Photovoltaic,SUN,PV,37.335046,-79.481,3,PJM
Mt. Jackson Solar,SOLAR,Solar Photovoltaic,SUN,PV,38.739621,-78.66016,15.7,PJM
Hecate Energy Clarke County LLC,PV1,Solar Photovoltaic,SUN,PV,39.06485,-78.13821,10,PJM
Hecate Energy Cherrydale LLC,PV1,Solar Photovoltaic,SUN,PV,37.37,-75.91717,20,PJM
Essex Solar Center,ESSEX,Solar Photovoltaic,SUN,PV,37.834094,-76.79997,20,PJM
"Southampton Solar, LLC",PV1,Solar Photovoltaic,SUN,PV,36.614,-77.166,100,PJM
Palmer Solar Center,PALM,Solar Photovoltaic,SUN,PV,37.96724,-78.23096,5,PJM
Martin Solar Center,MARTN,Solar Photovoltaic,SUN,PV,37.88051,-78.04919,5,PJM
"Depot Solar Center, LLC",DEPOT,Solar Photovoltaic,SUN,PV,37.276278,-79.11651,15,PJM
Danville,SO291,Solar Photovoltaic,SUN,PV,36.660591,-79.29906,6,PJM
"Stratford Solar Center, LLC",STRAT,Solar Photovoltaic,SUN,PV,36.660483,-76.56093,15,PJM
Colonial Trail West,CTWS,Solar Photovoltaic,SUN,PV,37.138889,-76.90222,142.4,PJM
Spring Grove I,SGIS,Solar Photovoltaic,SUN,PV,37.173916,-76.91925,97.9,PJM
Richmond Spider Solar,RMDSS,Solar Photovoltaic,SUN,PV,38.247123,-77.78622,20,PJM
Pleinmont Solar 1,PLNM1,Solar Photovoltaic,SUN,PV,38.247123,-77.78622,75,PJM
Pleinmont Solar 2,PLNM2,Solar Photovoltaic,SUN,PV,38.247123,-77.78622,240,PJM
Highlander Solar Energy Station 1,HLND1,Solar Photovoltaic,SUN,PV,38.247123,-77.78622,165,PJM
Puller Solar,PULL,Solar Photovoltaic,SUN,PV,37.57245,-76.46734,15,PJM
IKEA Norfolk Rooftop PV System,569PV,Solar Photovoltaic,SUN,PV,36.875877,-76.20094,1.3,PJM
Skipjack Solar Center,SKIPJ,Solar Photovoltaic,SUN,PV,37.437106,-77.15874,175,PJM
Desper Solar,1,Solar Photovoltaic,SUN,PV,38.015735,-78.04313,88.2,PJM
Meherrin Solar,MEHER,Solar Photovoltaic,SUN,PV,36.59,-77.65,59.6,PJM
Piney Creek Solar,PCSOL,Solar Photovoltaic,SUN,PV,36.818554,-78.77189,80,PJM
"Rappahannock Solar, LLC",100,Solar Photovoltaic,SUN,PV,37.657039,-76.38323,1.5,PJM
Grasshopper Solar,GRHS,Solar Photovoltaic,SUN,PV,36.85,-78.45,80,PJM
Sadler Solar,SADL,Solar Photovoltaic,SUN,PV,36.6867,-77.558,100,PJM
NASA Wallops Flight Facility Solar,CRPT5,Solar Photovoltaic,SUN,PV,37.938056,-75.47361,0.1,PJM
NASA Wallops Flight Facility Solar,CRPT6,Solar Photovoltaic,SUN,PV,37.938056,-75.47361,0.1,PJM
NASA Wallops Flight Facility Solar,CRPT7,Solar Photovoltaic,SUN,PV,37.938056,-75.47361,0.1,PJM
NASA Wallops Flight Facility Solar,TRCK1,Solar Photovoltaic,SUN,PV,37.938056,-75.47361,4,PJM
Bluestone Solar,BLUE1,Solar Photovoltaic,SUN,PV,36.811533,-78.48391,49.9,PJM
Whitehorn Solar,WHIT1,Solar Photovoltaic,SUN,PV,36.931378,-79.35874,50,PJM
