plant,generator ID,technology,energy_source,prime_mover,lat,lon,nameplate_capacity,ba,EI gen,EI Bus,Capacity Change,Generator Add,Generator twin,prime_mover_1,energy_source ,Column17,Column18,Column19
Tangier,5,Petroleum Liquids,DFO,IC,37.8277,-75.9915,1.2,PJM,,,1.2,yes,no,IC,DFO,,,
Tangier,6,Petroleum Liquids,DFO,IC,37.8277,-75.9915,1.2,PJM,,,1.2,yes,no,IC,DFO,,,
Church Street Plant,C3A,Petroleum Liquids,DFO,IC,38.752347,-77.46292,1.1,PJM,,,1.1,yes,no,IC,DFO,,,
Church Street Plant,C5,Petroleum Liquids,DFO,IC,38.752347,-77.46292,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
Church Street Plant,C6,Petroleum Liquids,DFO,IC,38.752347,-77.46292,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
Godwin Drive Plant,C10,Petroleum Liquids,DFO,IC,38.74054,-77.50806,1.5,PJM,,,1.5,yes,no,IC,DFO,,,
Godwin Drive Plant,C7,Petroleum Liquids,DFO,IC,38.74054,-77.50806,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
Godwin Drive Plant,C8,Petroleum Liquids,DFO,IC,38.74054,-77.50806,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
Godwin Drive Plant,C9,Petroleum Liquids,DFO,IC,38.74054,-77.50806,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
VMEA 1 Credit Gen,V10,Petroleum Liquids,DFO,IC,38.74054,-77.50806,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
VMEA 1 Credit Gen,V3,Petroleum Liquids,DFO,IC,38.74054,-77.50806,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
VMEA 1 Credit Gen,V4,Petroleum Liquids,DFO,IC,38.74054,-77.50806,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
VMEA 1 Credit Gen,V5,Petroleum Liquids,DFO,IC,38.74054,-77.50806,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
VMEA 1 Credit Gen,V6,Petroleum Liquids,DFO,IC,38.74054,-77.50806,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
VMEA 1 Credit Gen,V7,Petroleum Liquids,DFO,IC,38.74054,-77.50806,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
VMEA 1 Credit Gen,V8,Petroleum Liquids,DFO,IC,38.74054,-77.50806,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
VMEA 1 Credit Gen,V9-1,Petroleum Liquids,DFO,IC,38.74054,-77.50806,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
VMEA Peaking Gen,V1,Petroleum Liquids,DFO,IC,38.74054,-77.50806,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
VMEA Peaking Gen,V11,Petroleum Liquids,DFO,IC,38.74054,-77.50806,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
VMEA Peaking Gen,V12,Petroleum Liquids,DFO,IC,38.74054,-77.50806,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
VMEA Peaking Gen,V2,Petroleum Liquids,DFO,IC,38.74054,-77.50806,1.6,PJM,,,1.6,yes,no,IC,DFO,,,
Dominion/Lo Mar,DOM1,Petroleum Liquids,DFO,GT,38.7443,-77.4974,12.0,PJM,,,12.0,yes,no,GT,DFO,,,
Dominion/Lo Mar,DOM2,Petroleum Liquids,DFO,IC,38.7443,-77.4974,1.8,PJM,,,1.8,yes,no,IC,DFO,,,
Dominion/Lo Mar,LOM1,Petroleum Liquids,DFO,IC,38.7443,-77.4974,1.8,PJM,,,1.8,yes,no,IC,DFO,,,
Dominion/Lo Mar,LOM2,Petroleum Liquids,DFO,IC,38.7443,-77.4974,1.8,PJM,,,1.8,yes,no,IC,DFO,,,
Dominion/Lo Mar,LOM3,Petroleum Liquids,DFO,IC,38.7443,-77.4974,1.8,PJM,,,1.8,yes,no,IC,DFO,,,
Gateway Gen,1,Petroleum Liquids,DFO,IC,38.725278,-77.50972,1.8,PJM,,,1.8,yes,no,IC,DFO,,,
Gateway Gen,2,Petroleum Liquids,DFO,IC,38.725278,-77.50972,1.8,PJM,,,1.8,yes,no,IC,DFO,,,
Nottoway Diesel Generating Facility,1,Petroleum Liquids,DFO,IC,36.697222,-77.105,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
Nottoway Diesel Generating Facility,2,Petroleum Liquids,DFO,IC,36.697222,-77.105,2.0,PJM,,,2.0,yes,no,IC,DFO,,,
WestRock-West Point Mill,GEN8,Wood/Wood Waste Biomass,BLQ,ST,37.5392,-76.8053,5.0,PJM,,,5.0,yes,no,ST,BLQ,,,
WestRock-West Point Mill,GEN9,Wood/Wood Waste Biomass,BLQ,ST,37.5392,-76.8053,10.0,PJM,,,10.0,yes,no,ST,BLQ,,,
WestRock-West Point Mill,GN10,Wood/Wood Waste Biomass,BLQ,ST,37.5392,-76.8053,25.0,PJM,,,25.0,yes,no,ST,BLQ,,,
WestRock-West Point Mill,GN11,Wood/Wood Waste Biomass,BLQ,ST,37.5392,-76.8053,15.0,PJM,,,15.0,yes,no,ST,BLQ,,,
WestRock-West Point Mill,GN12,Wood/Wood Waste Biomass,BLQ,ST,37.5392,-76.8053,46.0,PJM,,,46.0,yes,no,ST,BLQ,,,
